fecha,id_usuario,ingreso_mensual,gasto_mensual_total,tasa_ahorro,objetivo_presupuesto,escenario_financiero,puntaje_crediticio,relacion_deuda_ingreso,pago_prestamo,monto_inversion,servicios_suscripcion,fondo_emergencia,cantidad_transacciones,indicador_fraude,gastos_discrecionales,gastos_esenciales,tipo_ingreso,alquiler_o_hipoteca,categoria,estado_flujo_caja,puntaje_recomendacion_financiera,nivel_estres_financiero,ahorro_real,meta_ahorro_cumplida,indice_financiero,perfil_financiero
2019-01-01,1584,3119.58,3212.07,0.38,3676.11,Inflación,721.0,0.56,125.77,689.22,3,510.58,68,0,857.55,1910.85,Independiente,1501.65,Inversiones,Positivo,8.3,Bajo,0.0,0,50.3459980910259,En observación
2019-01-31,1045,3262.44,3732.81,0.1,2607.17,Inflación,670.0,0.42,454.19,360.34,4,1154.41,41,0,534.51,3165.2,Salario,1603.17,Inversiones,Positivo,22.6,Bajo,0.0,0,39.29495098392652,Crítico
2019-03-02,1756,2931.2,3335.58,0.15,3004.14,Inflación,691.0,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,Independiente,1097.82,Salud,Positivo,58.8,Bajo,0.0,0,47.05677638306453,En observación
2019-04-01,1724,3506.79,2327.59,0.17,3346.97,Normal,717.0,0.16,482.76,182.06,5,227.37,94,0,594.08,1450.72,Independiente,1155.64,Alimentacion,Positivo,74.5,Bajo,1179.2,0,53.08786343605746,Estable
2019-05-01,1600,4606.87,2182.58,0.34,2670.09,Inflación,795.0,0.25,263.74,342.78,9,589.81,73,0,556.86,1000.0,Salario,1170.86,Servicios,Negativo,38.7,Alto,2424.29,0,61.78291187788531,Saludable
2019-05-31,1985,4028.39,3876.57,0.26,2079.72,Recesión,643.0,0.43,323.2,451.11,8,1131.03,56,0,431.04,2330.01,Salario,548.67,Salud,Positivo,53.7,Medio,151.82,0,50.18276905836862,En observación
2019-06-30,1194,4145.45,3035.61,0.15,2215.8,Normal,683.0,0.3,609.88,730.42,8,995.12,69,0,443.5,2860.3,Independiente,637.04,Transporte,Positivo,74.7,Alto,1109.84,0,49.83827979944091,En observación
2019-07-30,1600,3202.37,2689.51,0.25,3650.48,Normal,655.0,0.24,524.64,224.15,4,732.71,65,0,602.88,3526.55,Salario,1453.18,Ocio,Neutral,83.1,Medio,512.86,0,49.98883944052507,En observación
2019-08-29,1835,4765.11,2628.56,0.06,2813.81,Normal,715.0,0.52,103.3,0.0,7,1623.05,99,0,733.67,2503.65,Salario,1675.75,Educacion,Negativo,71.6,Bajo,2136.55,0,37.126911375023525,Crítico
2019-09-28,1454,3581.79,3370.8,0.13,2195.92,Normal,749.0,0.52,643.48,261.39,9,1057.1,91,0,464.34,1691.26,Salario,682.16,Ocio,Positivo,77.9,Alto,210.99,0,37.509116170306655,Crítico
2019-10-28,1045,3832.71,3230.77,0.23,3178.17,Normal,611.0,0.19,316.34,452.59,9,1095.63,73,0,585.69,3029.36,Mixto,1254.48,Inversiones,Positivo,62.5,Medio,601.94,0,56.01750087482584,Estable
2019-11-27,1357,2136.79,3444.29,0.34,2685.16,Normal,669.0,0.39,285.31,528.05,5,1967.83,53,0,283.44,2492.21,Independiente,773.98,Ocio,Negativo,36.1,Alto,0.0,0,54.92855610884388,Estable
2019-12-27,1403,5462.92,3049.29,0.29,2973.21,Recesión,670.0,0.23,679.87,275.58,2,1431.37,41,0,582.65,1483.81,Salario,1502.86,Alimentacion,Positivo,39.0,Bajo,2413.63,0,63.256185030473134,Excelente
2020-01-26,1884,2110.66,2707.86,0.24,1420.73,Recesión,647.0,0.32,331.5,563.48,6,1153.64,86,0,309.46,3236.23,Salario,790.3,Otros,Positivo,17.2,Medio,0.0,0,52.77999065367019,Estable
2020-02-25,1675,3507.29,2661.4,0.26,3493.12,Normal,739.0,0.4,650.88,220.05,7,1405.48,74,0,248.39,2825.21,Salario,1009.85,Inversiones,Neutral,11.2,Medio,845.89,0,49.362630632915874,En observación
2020-03-26,1750,2098.58,4614.09,0.16,2896.61,Normal,620.0,0.29,655.47,284.89,1,1381.6,58,0,494.7,1332.65,Salario,868.9,Gastos_hormiga,Positivo,94.2,Bajo,0.0,0,46.33340778162961,En riesgo
2020-04-25,1222,3677.65,3489.82,0.3,2068.33,Normal,631.0,0.13,511.94,347.32,7,1729.56,66,1,362.3,2576.38,Mixto,1284.68,Alimentacion,Negativo,50.0,Bajo,187.83,0,61.60150917403323,Saludable
2020-05-25,1050,1884.19,2764.11,0.29,3904.13,Normal,676.0,0.41,550.79,394.33,6,1692.29,59,0,633.22,2517.59,Mixto,1187.56,Gastos_hormiga,Positivo,68.6,Bajo,0.0,0,49.24380193102245,En observación
2020-06-24,1234,3697.31,3523.56,0.17,3122.47,Normal,743.0,0.52,351.55,247.39,6,493.09,62,0,516.89,2177.0,Salario,919.0,Gastos_hormiga,Negativo,90.6,Medio,173.75,0,37.08567857162946,Crítico
2020-07-24,1447,4726.33,3948.38,0.14,2539.69,Normal,691.0,0.48,369.67,409.83,7,1320.35,96,0,478.5,1850.42,Salario,929.73,Transporte,Negativo,73.7,Bajo,777.95,0,42.357466620148365,En riesgo
2020-08-23,1347,2911.22,1886.67,0.17,2330.65,Normal,631.0,0.52,448.13,112.31,7,1431.26,35,0,755.99,1737.44,Salario,1501.13,Inversiones,Neutral,43.5,Alto,1024.55,0,40.27646244035749,En riesgo
2020-09-22,1918,3972.53,2793.73,0.22,2700.51,Normal,759.0,0.44,469.72,955.5,7,1359.6,82,0,563.8,2305.04,Mixto,1187.25,Otros,Neutral,79.7,Bajo,1178.8,0,52.47553826408448,Estable
2020-10-22,1879,5136.85,2474.84,0.28,2837.11,Inflación,694.0,0.25,428.59,529.61,7,1045.61,64,0,435.07,2900.43,Salario,943.32,Salud,Neutral,81.4,Bajo,2662.01,0,61.74114404549819,Saludable
2020-11-21,1057,4124.22,2712.7,0.26,3029.37,Normal,706.0,0.21,308.5,258.74,5,615.45,94,0,643.02,1682.26,Salario,839.09,Servicios,Neutral,78.3,Bajo,1411.52,0,58.54954079207831,Saludable
2020-12-21,1129,4622.48,2219.51,0.18,2541.05,Normal,661.0,0.46,318.48,591.38,3,2306.84,27,0,260.55,1651.01,Salario,903.63,Alimentacion,Negativo,64.1,Bajo,2402.97,0,55.707893699775376,Estable
2021-01-20,1680,4859.63,2830.71,0.4,2665.05,Normal,609.0,0.32,787.17,459.74,2,768.35,31,0,186.89,1921.24,Salario,1611.29,Salud,Positivo,39.8,Bajo,2028.92,0,64.47710390527702,Excelente
2021-02-19,1621,5414.37,3328.5,0.1,2707.47,Inflación,665.0,0.56,540.72,512.29,5,1233.88,41,0,468.01,2460.65,Salario,964.77,Transporte,Positivo,47.7,Medio,2085.87,0,40.918594392968345,En riesgo
2021-03-21,1998,6042.51,2246.36,0.05,2185.71,Inflación,620.0,0.5,419.3,579.51,5,1513.09,22,0,383.93,1975.73,Salario,423.02,Gastos_hormiga,Positivo,27.9,Medio,3796.15,1,49.174068201072636,En observación
2021-04-20,1058,4422.94,2989.14,0.32,2506.2,Normal,662.0,0.38,440.32,326.25,9,322.35,90,0,809.16,1000.0,Salario,1618.9,Alimentacion,Negativo,27.3,Alto,1433.8,0,50.21236955164802,En observación
2021-05-20,1334,4012.76,2193.69,0.3,3328.25,Normal,617.0,0.53,720.24,0.0,6,1168.02,96,0,183.69,1375.03,Independiente,489.72,Ocio,Negativo,65.4,Medio,1819.07,0,48.623211593450804,En observación
2021-06-19,1256,3163.61,4000.56,0.22,2749.02,Recesión,619.0,0.29,377.91,686.52,6,1411.56,96,0,220.76,2389.84,Salario,1197.82,Ocio,Negativo,89.5,Bajo,0.0,0,52.89104099609804,Estable
2021-07-19,1421,2980.36,2083.75,0.15,3026.26,Recesión,690.0,0.23,365.45,213.49,6,453.89,78,0,96.31,2709.84,Salario,1127.79,Vivienda,Positivo,84.0,Medio,896.61,0,50.65356987264501,En observación
2021-08-18,1456,3515.99,3276.12,0.06,3289.32,Inflación,633.0,0.12,479.01,353.98,8,347.98,38,0,482.87,2536.01,Salario,1042.06,Alimentacion,Positivo,98.8,Bajo,239.87,0,46.902604195617755,En observación
2021-09-17,1974,3855.03,2510.28,0.4,3054.35,Normal,736.0,0.52,247.74,223.91,9,497.88,22,0,352.05,2030.87,Independiente,994.3,Otros,Positivo,80.7,Bajo,1344.75,0,54.515746425333106,Estable
2021-10-17,1730,3725.58,3430.91,0.08,2739.51,Normal,771.0,0.43,588.68,736.18,9,890.21,70,0,0.0,1675.65,Salario,834.94,Salud,Positivo,88.5,Medio,294.67,0,43.598611455138666,En riesgo
2021-11-16,1340,5423.61,3424.74,0.39,2646.35,Recesión,718.0,0.2,330.56,610.25,4,735.81,86,0,546.81,2287.09,Salario,1768.19,Alimentacion,Positivo,62.6,Medio,1998.87,0,67.74276825270168,Excelente
2021-12-16,1794,5273.97,2583.11,0.16,3373.36,Recesión,602.0,0.44,426.18,621.56,7,898.01,71,0,547.92,2573.98,Salario,1370.0,Transporte,Positivo,72.8,Medio,2690.86,0,49.17657025336807,En observación
2022-01-15,1776,4276.99,2785.21,0.31,3381.24,Inflación,731.0,0.22,480.68,282.26,7,2344.53,29,0,482.68,2102.28,Independiente,866.95,Educacion,Positivo,46.9,Alto,1491.78,0,64.70533151742771,Excelente
2022-02-14,1173,4781.39,3279.82,0.29,2503.33,Recesión,691.0,0.36,742.09,0.0,7,0.0,62,0,119.8,2368.1,Salario,1530.57,Servicios,Positivo,22.2,Alto,1501.57,0,48.638246897769605,En observación
2022-03-16,1482,4457.69,3522.27,0.3,2887.95,Normal,632.0,0.13,390.65,0.0,3,1154.66,35,0,469.88,2333.02,Salario,1607.09,Ocio,Neutral,51.5,Medio,935.42,0,60.98345697990449,Saludable
2022-04-15,1913,3782.73,2241.48,0.16,3606.0,Normal,689.0,0.5,564.04,278.85,9,790.98,25,0,260.49,2092.8,Salario,1181.67,Vivienda,Negativo,4.2,Bajo,1541.25,0,40.739427104113894,En riesgo
2022-05-15,1529,3933.49,4154.43,0.37,3058.63,Normal,635.0,0.13,880.34,552.72,3,210.08,52,0,598.5,3256.12,Salario,1213.39,Transporte,Negativo,98.0,Bajo,0.0,0,58.21931908327142,Saludable
2022-06-14,1737,4047.29,2359.97,0.07,3092.41,Normal,599.0,0.4,602.42,342.41,3,857.38,21,0,662.09,1979.19,Salario,969.63,Vivienda,Neutral,77.9,Bajo,1687.32,0,42.16805020758132,En riesgo
2022-07-14,1205,4076.19,3117.55,0.32,2422.02,Normal,728.0,0.59,358.86,160.08,5,471.82,70,0,482.28,2970.22,Salario,519.17,Educacion,Negativo,4.2,Alto,958.64,0,42.95577278668175,En riesgo
2022-08-13,1756,4155.26,3157.23,0.17,2270.44,Normal,720.0,0.27,743.05,245.03,2,1347.98,27,0,697.79,2778.93,Salario,1396.85,Otros,Positivo,11.9,Bajo,998.03,0,49.85298836686306,En observación
